country,country_code,year,BM.KLT.DINV.WD.GD.ZS,BX.KLT.DINV.WD.GD.ZS,GC.TAX.INTT.RV.ZS,IT.CEL.SETS.P2,IT.NET.BBND.P2,IT.NET.SECR,IT.NET.USER.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.DEFL.KD.ZG.AD,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.ADT.1524.LT.ZS,SE.ADT.LITR.ZS,SI.POV.GINI,SP.POP.GROW,SP.POP.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,SP.URB.GROW,SP.URB.TOTL.IN.ZS,ST.INT.ARVL,ST.INT.DPRT,ST.INT.XPND.CD
Italy,ITA,2023,1.32675504301584,1.82329512104505,,131.872,31.8411,1783922.0,87.0278,33.5347636988069,32.106099775264,5.91461605792436,5.91461605792436,0.715372500867531,39065.4244365633,,,34.3,-0.0342216578672275,58993475.0,-1.1554007482934,28.027,0.405799964250842,71.973,,,
Italy,ITA,2024,1.43606039152331,0.917841215922765,,,,1806733.0,89.2207,32.7328584456689,30.4432306155658,2.11108991995954,2.11108991995954,0.725792380234424,40226.0472416173,,,,-0.0126327033700514,58986023.0,-1.15734791984543,27.708,0.429609757181424,72.292,,,
Japan,JPN,2019,5.04659310842062,0.780785313301259,,147.21,33.5459,2361325.0,92.7304,17.4635264275221,17.7528916808924,0.634803165679926,0.634803165679926,-0.402169200894946,40415.9567649547,,,33.0,-0.140464977878172,126633000.0,-1.12332728122151,8.30200000000001,-0.0510014914514158,91.698,31881000.0,20081000.0,29146000000.0
Japan,JPN,2020,2.97024478482841,1.23830386396694,,154.432,34.8371,2884902.0,90.2195,15.5331828643222,15.8020257724508,0.933912186858549,0.933912186858549,-4.16876457146743,40028.7341726762,,,32.3,-0.294194617750067,126261000.0,-1.31115557603189,8.218,-0.202631222664941,91.782,4115799.8046875,3174000.0,6741000000.0
Japan,JPN,2021,4.16125568185979,0.695100892094565,,159.516,35.9392,3233771.0,82.9141,18.1091919388618,18.629254289208,-0.203835821828704,-0.203835821828704,2.69657404187188,40094.5599795288,,,,-0.459952415807642,125681593.0,-1.49965333207488,8.133,-0.367384540062546,91.867,,,
Japan,JPN,2022,4.104280295451,1.12971840820325,,168.603,36.8414,3620375.0,84.9234,21.5464241239166,25.2665627129772,0.399048968762756,0.399048968762756,0.941998775483285,34065.6438962526,,,,-0.443851919148528,125124989.0,-1.53176382377328,8.045,-0.348106762186141,91.955,,,
Japan,JPN,2023,4.63871311590493,0.47897443130528,,178.432,38.6312,3947391.0,86.9815,21.8515912402593,23.2992883238654,4.06819848886964,4.06819848886964,1.47503481053384,33836.1756271617,,,,-0.487370782049143,124516650.0,-1.5872391506449,7.95699999999999,-0.391718017575944,92.043,,,
Japan,JPN,2024,5.17162974168686,0.426561392377945,,,,4082355.0,,,,2.87380993657106,2.87380993657106,0.0836985643852159,32475.8924992191,,,,-0.435651699326323,123975371.0,-1.58588709566545,7.866,-0.336833844891499,92.134,,,
"Korea, Rep.",KOR,2019,2.13385676725272,0.58339386057331,1.41860245113873,133.08,42.0374,234958.0,96.1576,39.2758610673609,36.4812778978581,-0.839325308149668,-0.839325308149668,2.24397786011012,31902.4169048194,,,33.2,0.347874968577526,51764822.0,0.504154117366634,18.57,0.312269897922803,81.43,17503000.0,28714000.0,35339000000.0
"Korea, Rep.",KOR,2020,2.1183560283733,0.533043337613518,1.29729918484293,135.973,43.0541,307856.0,96.5051,36.359590549146,32.6744545418102,1.56374685675343,1.56374685675343,-0.709415359397681,31721.2989141857,,,32.7,0.137869266247028,51836239.0,0.223993326888109,18.586,0.118218402592122,81.414,2519000.0,4276000.0,16705000000.0
"Korea, Rep.",KOR,2021,3.62953336285071,1.21315499855807,1.3769641896469,140.516,44.2526,379684.0,97.5713,41.8772295047804,38.3222274220465,2.76293194144772,2.76293194144772,4.30473481906969,35125.5224984723,,,32.9,-0.128757315474928,51769539.0,-0.128748361821852,18.586,-0.128759359504165,81.414,,,
"Korea, Rep.",KOR,2022,3.93084120600832,1.49617378306838,1.40079069687653,148.684,45.4542,455851.0,97.1686,48.2717642210409,48.2646450676456,1.27552257409207,1.27552257409207,2.61267219187226,32394.6833725203,,,,-0.187486566698935,51672569.0,-0.257463668092277,18.573,-0.171518358139427,81.427,,,
"Korea, Rep.",KOR,2023,1.87832988216092,1.11176900074515,1.09154187696094,162.114,46.5676,503079.0,97.416,43.9956698686696,43.9440093217037,2.06407396162432,2.06407396162432,1.35673324311098,33121.3712885508,,,,0.077477253324535,51712619.0,-0.0787836052861137,18.544,0.113085223805968,81.456,,,
"Korea, Rep.",KOR,2024,,,,,,615961.0,97.8956,,,,,,,,,,0.0743178674548815,51751065.0,-0.152427138495345,18.502,0.125866108163057,81.498,,,
Mexico,MEX,2019,0.46655629263881,2.29639390866973,1.42492791764381,97.0359,15.3885,34635.0,69.6321,38.5296507920009,38.9323214651119,4.31901023665301,4.31901023665301,-0.392690505099296,10369.5553585271,99.1938120034309,95.3889403219417,,0.950144329831411,125762982.0,-0.5118088133456,19.556,1.30879930942112,80.444,97406000.0,82752000.0,12300000000.0
Mexico,MEX,2020,0.448976803692317,2.81349178443172,1.31903129771378,96.9237,17.7521,41615.0,71.4902,39.2353720871536,37.6191836120664,4.61979012344409,4.61979012344409,-8.35403456576364,8841.2707511328,99.0800018310547,95.25,44.6,0.820454117563552,126799054.0,-0.65800147046923,19.269,1.17658908938747,80.731,51128000.0,36056000.0,4286000000.0
Mexico,MEX,2021,-0.0227940347685688,2.69815759567076,1.5769812245324,99.0948,19.2797,44523.0,75.6265,40.5691931994994,42.5001044331777,4.48797272763839,4.48797272763839,6.04848345704632,10314.0506725979,99.254077553763,95.6890981310362,,0.66740537533078,127648148.0,-0.822704289102285,18.984,1.01980862914655,81.016,,,
Mexico,MEX,2022,1.18268665081825,2.66415918311792,1.68513148695769,105.713,20.2861,49116.0,78.6322,42.9460448302063,45.8808899526489,6.63122008991697,6.63122008991697,3.71098893117183,11402.1410374782,99.0,95.8486603965766,43.5,0.753116988604166,128613117.0,-0.754180317575722,18.7,1.10305152269145,81.3,,,
Mexico,MEX,2023,0.0455340294005447,1.72931055025628,1.68868225003555,111.562,20.0882,53468.0,81.1832,36.1666703433344,37.6028627773981,4.48311577788125,4.48311577788125,3.2953909570288,13826.1306570122,99.1639802251459,95.8346901734281,,0.872178517508623,129739759.0,-0.64732885756738,18.418,1.21844174097919,81.582,,,
Mexico,MEX,2024,0.704059032291964,2.44690161792244,,,,69573.0,,36.7857440701926,37.9258515356765,4.935408692579,4.935408692579,1.4540624784799,14157.9445835849,99.1996054782668,95.7654716766416,,0.860515443690537,130861007.0,-0.671413462311147,18.138,1.20314137259482,81.862,,,
Nigeria,NGA,2019,0.0601282042082383,0.485777628049362,,88.1169,0.0397927,15036.0,29.7,,,10.384779195217,10.384779195217,2.20842927714881,2265.15520863056,,,,2.1944019229433,209485641.0,0.543586791253677,48.843,3.79639032434636,51.157,,,16406000000.0
Nigeria,NGA,2020,0.340892224048837,0.551893508838688,,95.4357,0.0305206,15242.0,31.8888,,,7.84914204720589,7.84914204720589,-1.79425308274458,2019.65706326224,,,,2.13029714344341,213996181.0,0.476752107002739,48.042,3.68393418210316,51.958,,,6613000000.0
